V1,V2,V3,V4,V5,Q3,Q5_1_TEXT,Q5_3_TEXT,Q5_4_TEXT,Q5_5_TEXT,Q5_6_TEXT,Q5_7_TEXT,Q7,Q152,Q9,Q162,Q11,Q150_1,Q150_2,Q150_3,Q150_4,Q13,Q161,Q15,Q134,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q135_1,Q135_2,Q135_3,Q135_4,Q93,Q95,Q97,Q99,Q1522,Q136,Q154,Q155,Q156,Q157,Q158,Q159,Q160,Q1613,Q1624,Q137_1,Q137_2,Q137_3,Q137_4,Q113,Q114,Q115,Q116,Q153,Q139,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q138_1,Q138_2,Q138_3,Q138_4,Q117,Q118,Q119,Q120,Q1545,Q141,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q140_1,Q140_2,Q140_3,Q140_4,Q121,Q122,Q123,Q124,Q1556,Q143,Q199,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q142_1,Q142_2,Q142_3,Q142_4,Q125,Q126,Q127,Q128,Q1567,Q145,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q144_1,Q144_2,Q144_3,Q144_4,Q129,Q130,Q131,Q132,Q1578,Q147,Q217,Q218,Q219,Q220,Q221,Q222,Q223,Q224,Q225,Q146_1,Q146_2,Q146_3,Q146_4,Q133,Q1349,Q135,Q13610,Q15811,Q149,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q148_1,Q148_2,Q148_3,Q148_4,Q137,Q138,Q13912,Q140,Q15913,Q14914,Q208,Q209,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q148_115,Q148_216,Q148_317,Q148_418,Q14119,Q142,Q14320,Q144,Q16021,Q146,Q148,Q150,Q152_1,Q152_2,Q152_3,Q152_4,Q152_5,Q152_6,Q152_7,Q152_8,Q152_8_TEXT,Q15422,Q15623,Q15824
R_1IXldmnvKEk87kh,Default Response Set,10/6/16 7:31,10/6/16 7:58,1,1,Chrome,Macintosh,1920x1080,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,1,1,0,0,38.008,0,2,24,1,1,,,,,,1,,,,1,0,0,59.004,0,A newspaper is better than a magazine. A rock makes a good anchor. Something is easy even children can do it. ,I'm not sure,,1,24,1,,,,,,,1,,,40.042,43.84,44.004,2,Christopher Columbus Knew he was right.  / Hero / Sisters / Days became weeks / Vastness / success,Christopher Columbus,,,24,1,,,,,,,,,1,55.471,55.471,59.004,1,Doing Laundry can be a pain. / You will have to do it over and over / You have to watch it to make sure nothing goes wrong.  / ,Doing Laundry ,,,24,1,,,1,,,,,,,49.549,49.549,52.007,1,"Picture of a bike / You should protect your head / You can borrow a friends / It is better to do it on a sunny,dry day rather than a wet or windy day / You can go as fast or a slow as you'd like",Riding a bike,1,,24,1,,,,,1,,,,,0,0,50.532,0,"There was a picture of a pencil, which had nothing to do with the topic of the story. The person was getting very impatient with waiting for their food to cool down. They tried to open the elastic packaging, but hot oil came out and on to the person's hand. It was very hot.",Waiting for their food to cool down.,,1,24,1,,,,,,,,1,,0,0,47.005,0,"This person got a new laptop, and they turned it on and the lights flashed. There were a bunch of different colors on the screen. They had to press the black keys and touch the touch pad. When they touched the touch pad the images on the top of the screen changed.",Getting a new computer,,,24,1,1,,,,,,,,,0,0,46.007,0,I was hoping the cloth would not leak / I haven't done this task in a long time.  / Mess / Under / Tabs / Picture of a diaper,Changing a diaper,1,,24,1,,1,,,,,,,,45.046,45.046,46.006,1,Abraham Lincoln  / he didn't have a lot of money as a boy / As a man he gained power and stature  / People were either with him or against him and he was aware of that  / He tried to get people on his side.,Abraham Lincoln,1,,24,1,,,,1,,,,,,44.894,44.894,46.003,1,"Now, my creation looked complete. / Sticks and stones / Surveyed my work / Picture of a shoe",I'm not sure,,1,24,2,1,2,1,,,,,,,,,1,,1
R_2eRnFFEaqkjhVvN,Default Response Set,10/6/16 9:46,10/6/16 10:16,1,1,Edge,Windows NT 10.0,1536x864,23.0.0,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",1,1,1,1,1,5.883,5.883,38.038,1,4,24,1,1,,,,,,,1,,,1,4.194,4.194,59.033,1,"Flying a kite is very fun. Newspaper is better than a magazine. Seashore is better than a street. Running is better than walking. Birds can be a problem. Rain also can cause issues. Also, too many people doing it can cause problems. A rock can serve as an anchor.",flying a kite,,,24,1,1,,,,,,,,,0,0,44.012,0,HE had jewels and sisters. There were rumors. days became weeks.,a sailor,1,,24,1,,,,,,,,1,,4.713,4.713,59.012,1,It is easiest to separate into piles. Usually you can put into one pile. You then have to put them into a machine. Then you turn the machine one. You cannot leave because you must stay if something goes wrong. Then you take the pile out of one machine and put it into another and turn it on. Once it is done you take it out and take it home. YOu then have to organize the pile and put the clothes where they belong. Then you will wear them again eventually and have to do it all over.,Cleaning clothes and organizing,,,24,1,,,,1,,,,,,0,0,52.206,0,You may want to protect your head. Go on a sunny good day rather than a rainy wet one. You may want a mirror for visibility. If you don't have your own borrow a friends. MAke sure it is the right size and fits.,bike,,1,24,1,,,,,,,,,1,0,0,50.023,0,I was impatient and wanted to pull it back. The oil burnt my hand but I wanted the pizza. ,pizza,,,24,1,,1,,,,,,,,0,0,47.37,0,It made a humming sound. It had black squares that seemed to convey my message. It had two parts. The top half and the bottom which had black and white images. I am getting a hang of my new machine.,computer,0,,24,1,,,,,,1,,,,3.541,3.541,46.464,1,I thought it was time I did this again as I had not done it in a while. I took a paper towel and unfolded it and layed it flat. I then did something to the corners of it. ,cleaning,,0,24,1,,,,,1,,,,,0,0,46.016,0,"HE didn't realize people were either with him or against him. As a boy he had no money. As a man he towered over others in stature, discipline, and money. People followed in this footsteps.",a Man,,1,24,1,,,1,,,,,,,0,0,46.013,0,I waited for seasons. I put stuff together to make the form. I used sticks and rocks to put it together.,making a snowman,1,,24,3,2,2,1,,,,,,,,,1,,1
R_oYtOhpurYvyb8bv,Default Response Set,10/6/16 9:42,10/6/16 10:19,1,1,Safari,Macintosh,1280x800,22.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",1,1,1,1,1,0,0,38.011,0,2,24,1,1,,1,,,,,,,,1,0,0,59.007,0,This paragraph confused me because I could not pick out a topic and it seemed to almost not go together. They talked about children and then bird but I was so busy looking for a topic that I am unable to remember what was said.,no idea,0,,24,1,,,,,,,1,,,0,0,44.009,0,Christopher Columbus knew he was right. He went searching for the end of the world. He was gone for days and weeks and people began to worry.,Christopher Columbus,,,24,1,,,,,,1,,,,0,0,59.008,0,"In this paragraph they described how to do laundry. First you separate it into piles, and if you don't  have much then you can just do one. Then you put it in the machine and turn it on. You then sit and wait just incase something goes wrong. When it is done, you move it to the next machine and turn it on and watch it go around. When you are finished you fold them and put them in their usual place. It is a pain. And then you will wear them again and have to do it all over.",Washing Laundry,,1,24,1,,,,,1,,,,,0,0,52.003,0,Something along the lines of you want it to be sunny outside not wet. A smooth and straight surface is easier than a curved jagged one. You can borrow a neighbors or friends but you should make sure that it fits well.,Doing Something outside,,1,24,1,,,,1,,,,,,0,0,50.004,0,He received something. He said it smelt bad so he wanted to open it. There were some sort of fibers holding it together. It was hot and there was oil which dripped on his hand and burnt him. He was impatient and wanted to open it.,"the hot, smelly object",,0,24,1,,,1,,,,,,,0,0,47.006,0,In this he talks about a new laptop. Either it is a very new and different model or this was when laptops were first made or the first he ever had. He talked about opening it and how weird it was. he talked about the black screen up top with the black squares below. He correlated the fact that when you press a key it shows up on the black screen above.,a laptop,1,,24,1,,,,,,,,,1,0,0,46.009,0,In this paragraph a woman described how she had not changed a diaper in a while. She said she disposed of the soiled one and pulled a clean one from the top of the stack. She says that she neatly unfolded it and slid it under the bottom. she then wrapped the tabs around to the middle and said that it looked snug but not too tight. she said she hoped there would be no leakage from the diaper.,changing a diaper,,,24,1,,,,,,,,1,,0,0,46.006,0,They talked about Abraham Lincoln and about how when he was a boy he didn't have much money and when he was a man he towered over others. they talked about how great he was and about how he was a huge impact on the U.S.,Abraham Lincoln,,,24,1,1,,,,,,,,,0,0,46.004,0,The person or child recalls an event where he or she went outside to build a snowman. They talk about the fact that it is now brighter outside than inside and how the snow would stick to their clothes and hands. They also talked about how they were having a hard time getting the snow to stick and form a snowball but more snow fell making it easier.,building a snowman,1,,24,2,1,2,1,,,,,,,,,1,,1
R_2CyobMttwJpFJx2,Default Response Set,10/6/16 10:32,10/6/16 10:49,1,1,Chrome,Windows NT 10.0,1920x1080,23.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",1,1,1,1,1,0,0,38.021,0,2,24,1,1,,,1,,,,,,,1,0,0,59.005,0,better than a magazine ,story,1,,24,1,1,,,,,,,,,0,0,44.005,0,success at least ,story,0,,24,1,,,,,,,1,,,0,0,59.005,0,"Doing your laundry is a pain.  have a machine , do not do it at once",doing laundry ,,,24,1,,,,,,1,,,,0,0,52.002,0,"you may want move outside, a sunny dry day is better than a windy wet day. / move slowly","suggestion, direction",,1,24,1,,,,,1,,,,,0,0,50.012,0,"wonder if it is too hot to touch,",story,,0,24,1,,,,1,,,,,,45.094,45.094,47.008,1,"From top to the bottom, black squire, read color, half, hand",what is he doing,,1,24,1,,1,,,,,,,,44.2,44.2,46.011,1,"I have been doing this take for a while, I think I should move one to the next / I was hoping the cloth do not leak",dairy,1,,24,1,,,,,,,,1,,0,0,46.007,0,"As a boy he was poor, as a man he was / against him,",a man's life,,,24,1,,,,,,,,,1,0,0,46.002,0,at first nothing could stay together,present,,,24,12,4,2,,,,,1,,,,,1,,1
R_XB5sng3E0av63QJ,Default Response Set,10/6/16 11:43,10/6/16 12:06,1,1,Chrome,Windows NT 10.0,1366x768,23.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",1,1,1,1,1,0,0,38.029,0,2,24,1,1,,,,,,,,,1,1,0,0,59.007,0,A newspaper is better than a. A seashore is better than a street. Children. successful second chance learn. kite. ,putting together a kite ,,,24,1,,,,,,1,,,,0,0,44.018,0,"hero, he said, egg, he knew he was right ",being a hero ,,1,24,1,1,,,,,,,,,0,0,59.014,0,first you start with a pile. sort the pile. machine. go somewhere else. too much. start process over again. easy. ,doing laundry,1,,24,1,,1,,,,,,,,0,0,52.012,0,You would probably want to be outdoors rather than inside. A sunny dry day is better than a wet rainy day. Moving slowly or quickly is up to you. Protecting your head. ,how to ride a bike ,1,,24,1,,,,1,,,,,,0,0,50.015,0,"It seemed like hours before, finally it was delivered. too hot to touch. elastic fibers. ",drawing? ,,1,24,1,,,,,,,1,,,0,0,47.007,0,"Finally getting used to my laptop, flashing light, black square, breaking touch ",using a laptop ,,,24,1,,,1,,,,,,,0,0,46.013,0,I knew it had been a while since i had done this task. I took a damn towel. Hoping it would not leak. Picture of a diaper. ,putting on a diaper ,1,,24,1,,,,,1,,,,,0,0,46.012,0,"he believed, no money, responsible, tremendous, depending ",depending on somebody financially ,,1,24,1,,,,,,,,1,,0,0,46.02,0,"snowman, clothes, hands, stuck to, sticks, rocks, process ",building a snowman ,,,24,3,1,2,1,,,,,,,,,1,I personally thought this was very difficult to try and remember what was said! I noticed towards the end that I was not remembering stuff as easily as I was when I first started it. ,1
R_2fxNGLjqNYX3Atn,Default Response Set,10/6/16 13:30,10/6/16 14:01,1,1,Chrome,Windows NT 10.0,1366x768,23.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",1,1,1,1,1,2.685,2.685,38.021,1,3,24,1,1,1,,,,,,,,,0,0,0,59.013,0,"A newspaper is better than a magazine. A seashore is a better place than a street. At first it is better to run then to walk. As a child, something about a rock",Taking your time to enjoy the beauty of life is better than rushing through it,0,,24,1,,,,,1,,,,,2.296,2.296,44.009,1,With pawns and jewels and finances he tried to harm people who tried to prevent his scheme. Your eyes deceive what he said. An egg not a table. ,Kind was paranoid about his power,,1,24,1,,1,,,,,,,,0,0,59.026,0,The procedure is simple. First you arrange clothes into piles. You put things in machine and turn it on and watch it to make sure nothing goes wrong. Then you take the out and put them away.,Doing laundry,1,,24,1,,,,,,,,,1,18.814,18.814,52.02,1,You will probably want to be outdoors A sunny day is better than a wet rainy one. Beginners prefer a smooth surface. Straight ways are easier than crooked ways. ,Be optimistic,,,23,1,,,,,,,,1,,0,0,50.017,0,"It seemed like hours sine I had called, finally it arrived. The pizza was very hot, but I couldn't resist the smell. Splotches of hot grease splashed on my skin.",Someone experiencing the anticipation of eating pizza,,,24,1,,,,,,1,,,,0,0,47.012,0,I was intimidating to open the new object. I heard a humming sound and colored images popped up. I waited to tell it what to do. I was getting the hang of the new machine. ,Opening a new electronic device,,1,24,1,,,1,,,,,,,0,0,46.007,0,"It had been awhile since i had performed this task so i thought i wold do it anything. I replaced the dirty towel and laid it to dry. It looked snug, but not too tight. ",Making a bed?,0,,23,1,,,,1,,,,,,1.57,1.57,46.037,1,He knew that people were either on his side r against him. He wanted people on his side. As a boy he didn't have money and now as a man he is towering over others. He know had a big task to decide from,A man's struggle with power,,1,24,1,,,,,,,1,,,0,0,46.015,0,My snowman was complete.The outdoors were bright. I waited many seasons to complete this. The snow stuck to my hands and clothes. I completed it with rocks and sticks.,Building a snowman,,,24,2,1,2,1,,,,,,,,,1,,1
R_3gZVX08WFwkjsbb,Default Response Set,10/6/16 14:27,10/6/16 14:44,1,1,Chrome,Macintosh,1280x800,23.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,1,1,0,0,38.024,0,1,24,1,1,,,,,1,,,,,1,0,0,59.008,0,There are just a few simple things to remember while doing this activity.,kite flying,,0,24,1,,1,,,,,,,,0,0,44.018,0,The wind was good he said as he prepared for a long lost trip he had always wanted to take.,voyaging,1,,24,1,,,1,,,,,,,0,0,59.008,0,You put the items in the machine and make sure not to put too many in at the same time. You watch the machine spin and wait for it to be done. ,laundry machine,1,,24,1,,,,,,,,1,,0,0,52.007,0,Make sure it is not to windy outside. Bike riding can be fairly easy if it is not windy and in good conditions.,bike riding,,,24,1,,,,,,,,,1,0,0,50.008,0,I had waited for hours for this package and once i receieved it I wanted to open it immediately. I wondered if it was too hot.,receiving a package,,,24,1,,,,1,,,,,,0,0,47.02,0,The newness of it was intimidating. ,book,,1,24,1,,,,,,,1,,,0,0,46.012,0,I began to change the diaper. It had been a while since I had done this so I was extra careful not to let anything leak.,diaper changing,,,24,1,1,,,,,,,,,0,0,46.009,0,"As a boy he was poor and as an adult he towered over everyone in learning, stature, and responsibility.",Abraham Lincoln,1,,24,1,,,,,,1,,,,0,0,46.009,0,Parts stuck to my clothes and hands. My whole creation looked complete.,shoes,,1,24,0,1,2,1,,,,,,,,,1,,1
R_2TzKBcvFmxhC5fb,Default Response Set,10/6/16 14:40,10/6/16 15:03,1,1,Chrome,Macintosh,1280x800,23.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",1,1,1,1,1,0,0,38.013,0,4,24,1,1,,1,,,,,,,,1,0,0,59.018,0,Only a few things to remember for this activity. A magazine is better than a newspaper. It is better to run than walk,Not sure,0,,24,1,,,,,,,,1,,41.327,41.327,44.022,1,Christopher Columbus knew he was right,I have no idea,,,24,1,,,,,1,,,,,0,0,59.005,0,Then you can arrange everything at home. Then you sit there and wait. ,Not sure,,1,24,1,,,1,,,,,,,0,0,52.01,0,A sunny day is better than a wet or cold day. To cover your head is a good idea. ,Riding a bike,0,,24,1,,,,,,1,,,,46.984,46.984,50.007,1,A package came in the mail. I was impatient. It was a long strand. It was too hot to touch. I tried it again. ,Getting a package in the mail,,1,24,1,1,,,,,,,,,0,0,47.005,0,I was getting the hang of my,a computer program,1,,23,1,,,,1,,,,,,0,0,46.004,0,I was hoping it would not leak. I folded the top over. ,Decorating a rocking chair,,1,24,1,,,,,,,,,1,0,0,46.007,0,As a boy he had no money. Now he has a tremendous task in front of him,A man ,,,23,1,,,,,,,1,,,43.443,44.59,46.02,2,I was waiting for this season. I added some details. I used my hands,Building a snowman in the winter,,,24,3,1,2,1,,,,,,,,,1,,1
R_3EhtwSBuapWpFX0,Default Response Set,10/6/16 20:39,10/6/16 21:15,1,1,Chrome,Windows NT 10.0,1500x1000,23.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",1,1,1,1,1,0,0,38.021,0,1,24,1,1,,,,,,,,,1,1,0,0,59.007,0,a walk is better than a kite. if you are not first you are last,im not too sure,,,24,1,,,,1,,,,,,0,0,44.011,0,he knew he was right. winged messengers. three sisters . vetness,cat going to the vet,,1,24,1,,,,,,1,,,,0,0,59.007,0,i didn't click play on the video and it started while i was away.,dissapointment,,0,23,1,,,,,,,1,,,43.876,45.393,52.017,6,riding a bike can be an efficient way to get around. a sunny day is best because there is no rain. ,riding a bike,,,24,1,,,1,,,,,,,0,0,50.011,0,it seemed like hours before it arrived. it was burning hot so i had to be even more patience. ,waiting for pizza to cool,1,,24,1,,1,,,,,,,,0,0,47.019,0, , ,0,,23,1,,,,,1,,,,,0,0,46.754,0,the video cut straight to the end,dont know,,0,23,1,1,,,,,,,,,0,0,46.008,0,he knew people were either on his side or they weren't he towered over people as a man. as a boy he had no money,Abraham Lincoln ,1,,24,1,,,,,,,,1,,0,0,46.013,0,the paragraph is about a  kid who had waited all season to build a snowman,building a snowman,,,24,2,1,1,1,,,,,,,,,1,some of the videos would play without me knowing and i would miss out on viewing them,1
R_3s5DcmtVBG9kM2v,Default Response Set,10/6/16 21:15,10/6/16 21:32,1,1,Firefox,Macintosh,1280x800,23.0.0,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:48.0) Gecko/20100101 Firefox/48.0,1,1,1,1,1,0,0,38.136,0,2,24,1,1,,,,,,1,,,,1,0,0,59.193,0,Rock  / Anchor ,An anchor dropping,,1,24,1,,,,,,,,,1,0,0,44.358,0,He was decieved. Christopher Columbus was told. / Laughter / Scornful  / ,Christopher Columbus,,,24,1,,,,1,,,,,,0,0,59.228,0,You have to put them in the machine and sit and wait. Then once they are all done take them home and put them in the arranged place. Then once you use them again ,Laundry ,,1,24,1,,1,,,,,,,,0,0,52.341,0,It is best not to ride when it is windy. You need to make sure it suites your body right. It is important to protect your head. You may need to borrow a friends ,Bicycle ,1,,24,1,,,,,,,,1,,0,0,50.347,0,I tried to pull one section of the pizza but it was too hot. I tried another section. A splash of oil landed on the side of my hand. I dropped it. ,Pizza being too hot to touch ,,,24,1,1,,,,,,,,,0,0,47.349,0,Opening it at first seemed like it almost was breaking in half. One push of the black key and it lit up. ,New laptop ,1,,24,1,,,,,,,1,,,0,0,46.373,0,I was hoping the diaper wouldn't ,Diaper ,,,23,1,,,1,,,,,,,0,0,46.168,0,"He had no money as a boy. As a man he towered over others, in learning and power",Abraham Lincoln ,1,,24,1,,,,,1,,,,,0,0,46.335,0,Now my creation looked complete ,A project/ art ,,1,24,5,3,2,1,,,,,,,,,1,,1
R_2atS9OmIZX24ciS,Default Response Set,10/7/16 8:56,10/7/16 9:16,1,1,Chrome,Macintosh,1280x800,23.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",1,1,1,1,1,0,0,38.014,0,2,23,1,1,,,1,,,,,,,1,0,0,59.006,0,kite. seashore is better than street. ,learning things,1,,24,1,,1,,,,,,,,0,0,44.008,0,he knew he was right. ,a man on a journey,1,,24,1,,,,,,,,,1,0,0,59.005,0,You will have to do it all over again. Put the pieces back ,Putting something together and taking it apart,,,24,1,,,,,,,,1,,0,0,52.003,0,Curvy ways are better than crooked ways. Protect your head when riding a bike. You can borrow a friends. Sunny days. ,Being outside riding a bike,,,24,1,,,,1,,,,,,0,0,50.008,0,hot oil splashed and burned my hand. impatient. i could last a few more minutes,burning hand,,1,24,1,,,,,1,,,,,0,0,47.009,0,black squares. book picture. i was getting the hang of my new machine. ,i dont know,,1,24,1,,,,,,1,,,,0,0,46.01,0,Spilled juice. Used a damp towel to clean. ,cleaning up a spill,,0,24,1,,,,,,,1,,,0,0,46.004,0,"When he was a kid he had no money. Now he had a tremendous task in front of him. As an adult he towered over everyone in height, in learning, ",Abraham Lincoln,,,24,1,1,,,,,,,,,0,0,46.007,0,creation took shape. I've waited for this for many seasons. the outdoors seem brighter than the indoors. snowman picture,building something outside,1,,24,3,1,2,1,,,,,,,,,1,,1
R_3kNFhgXQF58UCGH,Default Response Set,10/7/16 13:12,10/7/16 13:49,1,1,Chrome,Windows NT 10.0,1536x864,23.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",1,1,1,1,1,0,0,38.01,0,2,24,1,1,1,,,,,,,,,0,0,0,59.005,0,A seashore is better than a street. It is better to run than it is to walk at first. It is a fairly simple task. Even children can do it. Birds seldom get in the way. Rain soaks in rather fast. A rock will serve as a good anchor. It's a fun activity,Flying a kite,1,,24,1,,,,,,,,1,,0,0,44.004,0,"Christopher Columbus was discussing the world. He said that it was more egg shaped rather than being a table. The journey took a very long time. Days became weeks, and the doubts made rumors, but at last, winged messengers showed him, his success.",Christopher Columbus discovering the new world,,,24,1,,,,,,,1,,,0,0,59.003,0,"Doing your laundry can be a pain. It is quite simple really. First you arrange everything into groups.You can have one pile if you don't have a lot. Then you go somewhere if you don't have a machine. You then put your groups of clothes into a machine and turn it on. You can't leave. You have to stay in case something goes wrong. Once that machine is done, you put your clothes into another machine and turn it on. You watch the clothes go round and round. Once that machine is done, you take your clothes home and arrange them and put them in their usual places.",Doing laundry,,,24,1,,,,,,,,,1,0,0,52.003,0,"It's better to do outdoors. A dry, sunny day is better than a cold, wet one. Straight roads are better than curvy ones. If you don't have your own, you could borrow a friends. Going fast or slow is up to you. Once you get good at riding a bike, it is an efficient way of getting around.",Riding a bike,,,24,1,,,,,1,,,,,0,0,50.006,0,"The package had arrived. Brightly colored but thin. It looked too hot to touch, but decided to try. I tried opening it at one end and then another. There were elastic fibers on the package. I applied more force and the hot oil ran down the side and burned my hand. I decided to try again.",Opening a package,,1,24,1,,,1,,,,,,,0,0,47.037,0,"Opening a fragile, new machine. It almost seemed to break in half, but the top and bottom held together. Black squares caused light to flash and the machine was recognizing what the task at hand was. It was getting the hang of using the new machine.",Using a laptop for the first time,1,,24,1,,1,,,,,,,,0,0,46.045,0,"I knew it had been awhile since I had done this task, but I knew it had to be done again. I removed the cloth and used a damp towel to clean up any mess. I then proceeded to grab a fresh cloth from the top of the stack and lay in flat under the bottom. I then folded the tabs over the middle. It looked snug but not too tight. I hoped none of the mess would leak out.",Changing a diaper,1,,24,1,,,,1,,,,,,0,0,46.007,0,"A man who believed he had to get everyone on his side. As a boy he had no money. As a man he towered over everyone in learning, and power. He had a tremendous task in front of him. He had to choose between morals and location. Many followed this great man's vision.",A great man making a decision,,1,24,1,,,,,,1,,,,0,0,46.01,0,The seasons had changed. It was much brighter outdoors than it was indoors. Things were gathered to make a creation that began to take shape. Details were added with sticks and rocks and other parts stuck to the clothes and hands.,Creating something,,1,24,2,1,1,1,,,,,,,,,1,,1
R_4Mc6TP94R1JNIxX,Default Response Set,10/7/16 16:52,10/7/16 17:25,1,1,Chrome,Windows NT 6.3,1366x768,18.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",1,1,1,1,1,0,0,38.046,0,3,24,1,1,,,,1,,,,,,1,0,0,59.073,0,A newspaper is better than a magazine. A seashore is better than places that are on the street. It is better to run than to walk.  You may have to try several times.,Comparisons,,1,24,1,,,,,,,,,1,0,0,44.024,0,"Your eyes deceived, he said. Christopher columbus he was knew",Christopher columbus,,,24,1,,,,,,,1,,,0,0,59.037,0,Doing your laundry can be a pain. The procedure was quite simple. First you arrange everything into different groups. One pile is enough if you don't let too much to do then you have to go somewhere else if you don't have a machine. You put them in the machine and turn it on. It is better not to put too many at once. Then you sit and wait. You have to stay in case anything goes wrong. Then you put everything in another machine and watch it go around. When it stops then you take your things home and arrange them.  Then you put them away in their usual places.,Doing laundry,,,24,1,,,,,1,,,,,0,0,52.054,0,You would probably want to be out doors. A sunny dry day makes it easier than a windy or wet day. Beginners prefer a smooth surface,Random thoughts,,1,24,1,,1,,,,,,,,0,0,50.012,0,It seemed like forever since I've called.,I don't know,1,,24,1,,,,,,,,1,,0,0,47.041,0,"The newness of it was imediating.Opening up seem to break down in half and top and bottom held together. Pushing one black, squared flash. I could hear a humming sound. Colors and images appear on the top half. Was getting the hang of my new laptop. I waited for the chance to tell it.",Describing a new laptop,,,24,1,1,,,,,,,,,0,0,46.038,0,Diaper. I knew it would be a difficult task to do this. I took one from the top of the shelf,Diapers,1,,24,1,,,,,,1,,,,0,0,46.035,0,It understood that many people was not gonna be on his side. He was a man with money. ,Power,,1,24,1,,,1,,,,,,,0,0,46.009,0,I could see that the conditions were right. Parts stuck to my hands and clothes.,Awareness,1,,24,6,3,2,,,,,,,1,,,1,,1
R_xy0MztHFiM3rIdz,Default Response Set,10/7/16 19:08,10/7/16 19:33,1,1,Chrome,Windows NT 6.3,1920x1080,23.0.0,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",1,1,1,1,1,0,0,38.052,0,2,24,1,1,,,,1,,,,,,1,2.315,2.315,59.008,1,you will not get a chance their.,tree,,1,24,1,,,,,1,,,,,0,0,44.033,0,days became weeks.,cat,,1,24,1,,1,,,,,,,,0,0,59.011,0,It a is simple process. It is a very easy machine to work. First you have to put clothes in the machine. You have to watch it to make sure nothing goes wrong. Then you can put it in its usual place.You have to do it all over again.The whole thing can be a pain.,washing clothes,1,,24,1,,,,,,1,,,,10.561,10.561,52.008,1,Wearing something on your head is important.,riding a bike,,0,23,1,1,,,,,,,,,4.986,6.244,50.014,2,Hot grease got on my hand. I dropped it.,pizza,1,,24,1,,,,,,,,,1,10.905,10.905,47.008,1,I was intimitated to open this. I was scared of something new. Everytime I touched the black box a white box appeared. The white could understand what was happening between me and the black box.,A black box,,,24,1,,,1,,,,,,,0,0,46.02,0, It has been a while since i have done this. I hoped the cloth would not leak.,changing diapers,1,,24,1,,,,,,,1,,,0,0,46.015,0,He believed the job was just.,Abraham Lincoln,,,24,1,,,,,,,,1,,0,0,46.052,0,I have been waiting for so long for this season. It seems so much brighter outside than inside. I can't wait to build a snowman. The snow would stick to my hands and clothes.,winter and snow,,,24,2,1,2,1,,,,,,,,,1,,1
